timestamp,lane_d_lat,lane_yaw,lane_curvature,lane_confidence,odom_linear_x,odom_angular_z,cmd_vel_linear_x,cmd_vel_angular_z
1770995829.890271,0.394586,-0.206514,-0.009702,1.000000,0.143630,0.000000,0.501002,-0.045941
1770995829.993674,0.391623,-0.206653,-0.009702,1.000000,0.143662,0.000000,0.502004,-0.046426
1770995830.090707,0.388651,-0.206792,-0.009702,1.000000,0.143689,0.000000,0.503002,-0.046915
1770995830.190266,0.385683,-0.206932,-0.009702,1.000000,0.143689,0.000000,0.504002,-0.047405
1770995830.290472,0.415978,-0.208007,-0.006314,1.000000,0.143673,0.000000,0.505003,-0.044431
1770995830.390579,0.412989,-0.208098,-0.006314,1.000000,0.143682,0.000000,0.506005,-0.044892
1770995830.490388,0.419962,-0.208435,-0.005387,1.000000,0.143682,0.000000,0.507003,-0.044313
1770995830.590045,0.424694,-0.208684,-0.004701,1.000000,0.143703,0.000000,0.508002,-0.043954
1770995830.691202,0.421689,-0.208752,-0.004701,1.000000,0.143703,0.000000,0.509003,-0.044405
1770995830.790368,0.418680,-0.208820,-0.004701,1.000000,0.143654,0.000000,0.510003,-0.044859
1770995830.890290,0.415694,-0.208887,-0.004701,1.000000,0.143642,0.000000,0.511002,-0.045313
1770995830.990651,0.412691,-0.208954,-0.004701,1.000000,0.143630,0.000000,0.512004,-0.045770
1770995831.090353,0.409692,-0.209022,-0.004701,1.000000,0.143608,0.000000,0.513003,-0.046230
1770995831.190210,0.406692,-0.209089,-0.004701,1.000000,0.143574,0.000000,0.514002,-0.046691
1770995831.290369,0.403686,-0.209157,-0.004701,1.000000,0.143652,0.000000,0.515003,-0.047155
1770995831.390378,0.400679,-0.209225,-0.004701,1.000000,0.143610,0.000000,0.516003,-0.047621
1770995831.490121,0.397680,-0.209292,-0.004701,1.000000,0.143586,0.000000,0.517002,-0.048088
1770995831.591558,0.394672,-0.209360,-0.004701,1.000000,0.159316,0.000000,0.518013,-0.048559
1770995831.690113,0.402904,-0.208942,-0.003690,1.000000,0.165819,0.000000,0.519002,-0.047460
1770995831.790435,0.403745,-0.208916,-0.003340,1.000000,0.165819,0.000000,0.520002,-0.047424
1770995831.890302,0.404136,-0.208907,-0.003053,1.000000,0.174310,0.000000,0.521003,-0.047451
